[[1, 1, 0, -7637, 7487],
 [1, 1, 0, -7637, 7551],
 [1, 1, 0, -7633, 7487],
 [1, 1, 0, -7509, 7469],
 [1, 1, 0, -7509, 7471],
 [1, 1, 0, -7509, 7485],
 [1, 1, 0, -7509, 7487],
 [1, 1, 0, -7509, 7551],
 [1, 1, 0, -7509, 7597],
 [1, 1, 0, -7509, 7599],
 [1, 1, 0, -7509, 7615],
 [1, 1, 0, -7509, 7981],
 [1, 1, 0, -7509, 7997],
 [1, 1, 0, -7509, 7999],
 [1, 1, 0, -7509, 8063],
 [1, 1, 0, -7505, 7469],
 [1, 1, 0, -7505, 7471],
 [1, 1, 0, -7505, 7485],
 [1, 1, 0, -7505, 7487],
 [1, 1, 0, -7505, 7551],
 [1, 1, 0, -7505, 7597],
 [1, 1, 0, -7505, 7999],
 [1, 1, 0, -7493, 7469],
 [1, 1, 0, -7493, 7471],
 [1, 1, 0, -7493, 7487],
 [1, 1, 0, -7493, 7615],
 [1, 1, 0, -7493, 7983],
 [1, 1, 0, -7489, 7469],
 [1, 1, 0, -6613, 7469],
 [1, 1, 0, -6613, 7471],
 [1, 1, 0, -6613, 7485],
 [1, 1, 0, -6613, 7487],
 [1, 1, 0, -6609, 7471],
 [1, 1, 0, -6609, 7487],
 [1, 1, 0, -6485, 7469],
 [1, 1, 0, -6485, 7471],
 [1, 1, 0, -6485, 7485],
 [1, 1, 0, -6485, 7487],
 [1, 1, 0, -6485, 7597],
 [1, 1, 0, -6485, 7997],
 [1, 1, 0, -6481, 7469],
 [1, 1, 0, -6481, 7471],
 [1, 1, 0, -6481, 7485],
 [1, 1, 0, -6481, 7487],
 [1, 1, 0, -6469, 7469],
 [1, 1, 0, -3393, 7599],
 [1, 1, 0, -3393, 7615],
 [1, 1, 0, -2389, 7469],
 [1, 1, 0, -2385, 7471]]
